id,track_name,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num
1153232514,6623,174546944,0.99,0,0,0.0,0.0,9,1,40,5,1
1153449735,2323,85111808,0.0,24,8,4.5,5.0,4,1,38,3,5
1153462277,6301,40120320,0.0,0,0,0.0,0.0,12,21,37,0,1
1153473604,2191,43315200,0.0,27,3,2.5,2.0,4,8,37,3,1
1153515245,4933,203829248,0.0,1835,1819,5.0,5.0,4,1,38,5,1
1153694100,5779,7023616,2.99,29,0,3.5,0.0,12,1,37,5,1
1153896723,2528,93580288,0.0,1931,183,4.0,4.5,4,1,37,5,0
1154065290,4479,111542272,0.0,196,196,4.0,4.0,4,1,38,5,11
1154282030,1093,425026560,0.0,364,7,4.5,4.5,4,14,35,5,1
1154395075,2982,458687488,0.0,70,4,2.5,4.5,4,1,40,5,2
1154401422,3727,31147008,2.99,63,7,4.5,4.0,4,15,37,5,13
1154766826,7064,433170432,0.0,0,0,0.0,0.0,12,1,38,0,1
1154791600,6378,40107008,0.0,0,0,0.0,0.0,9,21,37,0,1
1154805667,6784,46541824,0.0,0,0,0.0,0.0,12,21,37,0,1
1154856196,5810,132481024,0.0,64,54,5.0,5.0,4,1,40,5,1
1154900079,3395,451428352,2.99,87,87,4.5,4.5,4,17,37,5,1
1155034875,959,209495040,1.99,14,7,4.0,4.5,12,1,38,5,1
1155038987,5104,26798080,2.99,0,0,0.0,0.0,4,1,40,4,1
1155162058,1384,79020032,0.0,751,132,3.5,4.0,9,1,40,5,1
1155219609,4508,25596928,0.0,84,3,2.5,2.5,4,18,37,1,1
1155497019,2382,146126848,0.0,51,1,2.5,2.0,4,1,37,5,1
1155899847,6642,209277952,0.99,0,0,0.0,0.0,9,1,38,5,1
1155982200,2598,1669448704,0.0,373,7,3.5,4.5,12,1,37,5,13
1156046252,1013,234621952,0.0,14,12,4.5,5.0,4,1,37,5,1
1156049875,6681,49252352,0.0,0,0,0.0,0.0,4,1,38,0,1
1156064689,3744,136615936,0.0,0,0,0.0,0.0,12,1,40,5,33
1156110079,5459,267330560,2.99,732,156,4.5,4.5,4,17,38,5,18
1156120307,1057,356862976,4.99,166,18,2.5,3.0,4,1,38,5,1
1156121311,5457,236893184,2.99,643,330,4.5,4.5,4,17,38,5,18
1156123904,5060,18631680,1.99,9,1,3.5,3.0,4,8,37,0,1
1156137155,5374,64120832,3.99,13,0,5.0,0.0,4,17,40,5,14
1156258040,5343,993859584,4.99,721,443,4.0,4.0,17,1,25,5,1
1156406002,5843,40321024,0.0,421,421,4.5,4.5,4,1,40,2,1
1156413671,2806,133572608,0.0,1,1,5.0,5.0,4,15,37,0,6
1156447726,4192,324028416,0.0,160,35,4.5,4.5,4,1,38,5,11
1156704617,676,77396992,0.0,197,88,4.5,4.5,4,1,40,5,1
