Team,Opponent,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Corners,Pass Accuracy %,Passes,Man of the Match
1,2,5,40,13,7,3,6,78,306,1
4,3,1,57,14,4,6,5,86,589,1
5,6,0,64,13,3,6,5,86,433,0
7,8,3,39,8,3,2,4,87,366,0
8,7,3,61,12,5,5,5,93,727,1
9,10,2,51,12,5,4,5,87,484,1
13,14,0,52,18,6,7,3,85,394,0
14,13,1,48,10,3,5,7,82,342,1
15,16,2,54,11,2,7,6,84,462,1
16,15,0,46,14,2,5,5,84,388,0
17,18,0,50,10,3,3,5,83,428,0
18,17,1,50,10,3,5,4,83,392,1
21,22,1,52,20,4,9,7,88,521,1
23,24,1,52,15,4,5,6,84,417,1
24,23,0,48,5,0,2,5,79,351,0
26,25,0,39,6,2,4,3,82,317,0
28,27,2,59,17,7,7,7,91,492,1
29,30,1,41,8,3,1,3,82,352,0
30,29,2,59,14,6,5,6,87,565,1
31,32,1,57,10,4,5,3,88,552,0
32,31,2,43,8,2,4,3,81,328,1
1,3,3,47,11,3,5,7,76,380,1
3,1,1,53,13,1,8,4,81,438,0
7,5,1,47,10,2,4,5,76,387,1
5,7,0,53,16,4,10,7,77,466,0
4,2,1,47,13,4,6,3,88,521,1
2,4,0,53,8,3,3,4,86,590,0
8,6,1,70,17,3,6,6,89,805,1
14,10,1,49,10,5,5,3,88,458,1
10,14,1,51,14,5,5,5,85,520,0
9,13,1,44,12,4,6,5,77,405,1
13,9,0,56,10,2,6,3,81,532,0
11,15,0,58,10,3,3,5,81,505,0
16,12,2,58,16,4,6,6,84,473,1
12,16,0,42,10,3,6,5,75,291,0
18,22,1,42,12,3,7,3,78,309,0
22,18,2,58,20,5,8,7,87,547,1
25,27,5,52,23,12,8,5,84,468,1
24,20,1,41,17,6,2,7,82,346,0
20,24,2,59,13,5,6,5,89,485,1
23,19,1,29,8,6,1,3,77,213,0
28,26,6,58,12,7,3,3,94,593,1
32,30,2,46,14,7,5,5,79,338,1
31,29,0,45,9,2,3,7,79,424,0
29,31,3,55,13,3,5,5,82,514,1
4,1,3,56,17,7,6,4,88,492,1
2,3,2,61,22,7,10,7,90,655,0
8,5,2,68,16,4,11,7,91,762,1
7,6,1,68,14,4,7,5,89,619,1
14,9,0,38,5,1,2,4,72,305,0
13,10,2,47,4,3,1,3,81,418,1
16,11,1,34,9,3,5,3,76,244,0
11,16,2,66,8,4,3,5,84,565,1
15,12,2,59,13,2,8,5,87,524,0
24,19,2,30,11,5,5,3,74,237,1
20,23,0,65,19,3,8,7,83,487,0
23,20,3,35,13,5,7,3,67,212,1
18,21,0,44,10,1,5,5,78,467,0
22,17,2,60,12,3,5,6,87,594,1
17,22,2,40,14,6,6,5,82,348,0
30,31,0,54,10,3,4,5,86,557,0
31,30,1,46,11,2,5,7,83,462,1
29,32,1,57,4,2,1,3,83,431,1
27,26,2,64,15,7,4,6,87,626,1
28,25,0,48,13,1,7,7,88,484,0
11,9,3,59,9,4,1,4,86,547,0
8,1,1,75,25,9,6,6,91,1137,0
1,8,1,25,6,1,3,5,72,284,1
15,14,1,54,22,7,8,5,81,626,1
14,15,1,46,15,3,10,4,79,539,0
20,21,0,53,13,1,4,7,85,424,0
30,25,2,44,11,4,4,6,83,453,0
23,22,1,37,12,3,6,3,73,271,1
28,29,1,51,16,2,9,7,82,571,1
4,9,0,42,11,4,6,4,67,322,0
9,4,2,58,11,2,7,3,81,524,1
25,21,2,43,8,3,3,4,83,370,1
28,23,2,57,12,2,4,6,80,525,1
1,15,2,38,13,7,4,6,69,399,0
9,25,1,40,19,5,8,4,86,342,1
25,9,0,60,9,3,5,5,90,629,0
28,15,1,46,11,1,6,4,79,479,0
25,28,2,43,12,4,3,4,88,510,1
28,25,0,57,15,5,7,5,92,698,0
15,9,2,61,15,3,8,6,83,547,0
