test  1 epoch, acc: 54 %,  load:0.668964
test  11 epoch, acc: 61 %,  load:0.671149
test  21 epoch, acc: 78 %,  load:0.671572
test  31 epoch, acc: 91 %,  load:0.657778
test  41 epoch, acc: 83 %,  load:0.626518
test  51 epoch, acc: 85 %,  load:0.642289
test  61 epoch, acc: 90 %,  load:0.651920
test  71 epoch, acc: 89 %,  load:0.666962
test  81 epoch, acc: 89 %,  load:0.667462
test  91 epoch, acc: 89 %,  load:0.664128
test  101 epoch, acc: 89 %,  load:0.683702
test  111 epoch, acc: 89 %,  load:0.680371
test  121 epoch, acc: 89 %,  load:0.675692
test  131 epoch, acc: 89 %,  load:0.686174
test  141 epoch, acc: 89 %,  load:0.619772
test  151 epoch, acc: 89 %,  load:0.630367
test  161 epoch, acc: 89 %,  load:0.666903
test  171 epoch, acc: 89 %,  load:0.618735
test  181 epoch, acc: 89 %,  load:0.647122
test  191 epoch, acc: 89 %,  load:0.630791
