test  1 epoch, acc: 66 %,  load:0.413747
test  11 epoch, acc: 86 %,  load:0.414612
test  21 epoch, acc: 89 %,  load:0.425148
test  31 epoch, acc: 84 %,  load:0.418857
test  41 epoch, acc: 93 %,  load:0.404842
test  51 epoch, acc: 91 %,  load:0.428936
test  61 epoch, acc: 94 %,  load:0.430420
test  71 epoch, acc: 94 %,  load:0.414618
test  81 epoch, acc: 93 %,  load:0.417632
test  91 epoch, acc: 92 %,  load:0.433331
test  101 epoch, acc: 93 %,  load:0.458426
test  111 epoch, acc: 92 %,  load:0.450180
test  121 epoch, acc: 92 %,  load:0.436885
test  131 epoch, acc: 92 %,  load:0.435485
test  141 epoch, acc: 93 %,  load:0.427537
test  151 epoch, acc: 92 %,  load:0.449954
test  161 epoch, acc: 92 %,  load:0.411262
test  171 epoch, acc: 92 %,  load:0.438762
test  181 epoch, acc: 93 %,  load:0.460292
test  191 epoch, acc: 93 %,  load:0.428415
