test  1 epoch, acc: 52 %,  load:0.756858
test  11 epoch, acc: 50 %,  load:0.613993
test  21 epoch, acc: 62 %,  load:0.637275
test  31 epoch, acc: 69 %,  load:0.705156
test  41 epoch, acc: 79 %,  load:0.622992
test  51 epoch, acc: 89 %,  load:0.592461
test  61 epoch, acc: 84 %,  load:0.657415
test  71 epoch, acc: 90 %,  load:0.621091
test  81 epoch, acc: 90 %,  load:0.658197
test  91 epoch, acc: 94 %,  load:0.683319
test  101 epoch, acc: 92 %,  load:0.687904
test  111 epoch, acc: 92 %,  load:0.614441
test  121 epoch, acc: 92 %,  load:0.624010
test  131 epoch, acc: 92 %,  load:0.584915
test  141 epoch, acc: 92 %,  load:0.628276
test  151 epoch, acc: 92 %,  load:0.618217
test  161 epoch, acc: 92 %,  load:0.700326
test  171 epoch, acc: 92 %,  load:0.635076
test  181 epoch, acc: 92 %,  load:0.677646
test  191 epoch, acc: 92 %,  load:0.617504
