test  1 epoch, acc: 59 %,  load:0.353785
test  11 epoch, acc: 80 %,  load:0.370781
test  21 epoch, acc: 82 %,  load:0.363184
test  31 epoch, acc: 85 %,  load:0.378355
test  41 epoch, acc: 83 %,  load:0.378320
test  51 epoch, acc: 82 %,  load:0.372747
test  61 epoch, acc: 92 %,  load:0.378682
test  71 epoch, acc: 85 %,  load:0.367812
test  81 epoch, acc: 92 %,  load:0.378202
test  91 epoch, acc: 85 %,  load:0.361729
test  101 epoch, acc: 91 %,  load:0.411093
test  111 epoch, acc: 91 %,  load:0.389244
test  121 epoch, acc: 94 %,  load:0.358109
test  131 epoch, acc: 89 %,  load:0.355582
test  141 epoch, acc: 93 %,  load:0.378280
test  151 epoch, acc: 92 %,  load:0.365698
test  161 epoch, acc: 90 %,  load:0.374748
test  171 epoch, acc: 92 %,  load:0.396322
test  181 epoch, acc: 92 %,  load:0.370210
test  191 epoch, acc: 96 %,  load:0.374171
