test  1 epoch, acc: 57 %,  load:0.752709
test  11 epoch, acc: 80 %,  load:0.766571
test  21 epoch, acc: 89 %,  load:0.759348
test  31 epoch, acc: 88 %,  load:0.767412
test  41 epoch, acc: 87 %,  load:0.769865
test  51 epoch, acc: 92 %,  load:0.725507
test  61 epoch, acc: 89 %,  load:0.786530
test  71 epoch, acc: 90 %,  load:0.745033
test  81 epoch, acc: 89 %,  load:0.766858
test  91 epoch, acc: 91 %,  load:0.775051
test  101 epoch, acc: 90 %,  load:0.762124
test  111 epoch, acc: 91 %,  load:0.763560
test  121 epoch, acc: 90 %,  load:0.747913
test  131 epoch, acc: 91 %,  load:0.765805
test  141 epoch, acc: 90 %,  load:0.782102
test  151 epoch, acc: 89 %,  load:0.774912
test  161 epoch, acc: 89 %,  load:0.722402
test  171 epoch, acc: 90 %,  load:0.752181
test  181 epoch, acc: 90 %,  load:0.772446
test  191 epoch, acc: 90 %,  load:0.744073
